node_id,fma_id,canonical_name,side,region,segment,min_x,min_y,min_z,max_x,max_y,max_z,center_x,center_y,center_z
FJ3277,FMA23465,left radius,left,arm,forearm_l,0.219836,0.806163,0.061469,0.279143,1.035010,0.127252,0.249489,0.920586,0.094361
FJ3278,FMA24436,left scaphoid,left,hand,hand_l,0.249452,0.796220,0.111527,0.272977,0.811682,0.126444,0.261215,0.803951,0.118985
FJ3279,FMA13396,left scapula,left,arm,shoulder_l,0.057061,1.183950,-0.005076,0.166464,1.349860,0.102845,0.111763,1.266905,0.048884
FJ3280,FMA24483,left talus,left,foot,foot_l,0.049635,-0.031306,0.048814,0.090178,0.003098,0.105677,0.069907,-0.014104,0.077246
FJ3281,FMA52739,left temporal bone,left,skull,skull,0.011624,1.475480,0.035070,0.072585,1.551460,0.133567,0.042105,1.513470,0.084319
FJ3282,FMA24478,left tibia,left,leg,lower_leg_l,0.035034,-0.006095,0.051982,0.109455,0.373862,0.114515,0.072245,0.183883,0.083249
FJ3283,FMA24444,left trapezium,left,hand,hand_l,0.264781,0.785747,0.117710,0.281795,0.805793,0.134554,0.273288,0.795770,0.126132
FJ3284,FMA24445,left trapezoid,left,hand,hand_l,0.262253,0.782722,0.113645,0.273289,0.795270,0.128450,0.267771,0.788996,0.121047
FJ3285,FMA24440,left triquetral,left,hand,hand_l,0.231821,0.788949,0.114425,0.242731,0.802520,0.129807,0.237276,0.795735,0.122116
FJ3286,FMA23468,left ulna,left,arm,forearm_l,0.196892,0.805016,0.044552,0.247120,1.052470,0.123279,0.222006,0.928743,0.083916
FJ3287,FMA52893,left zygomatic bone,left,skull,skull,0.031893,1.480620,0.121743,0.063244,1.536740,0.161432,0.047569,1.508680,0.141588
FJ3288,FMA16587,left hip bone,left,pelvis,pelvis,0.002750,0.751951,0.001315,0.144754,0.958090,0.139095,0.073752,0.855020,0.070205
FJ3289,FMA52748,mandible,midline,skull,skull,-0.053846,1.421630,0.089854,0.052554,1.506100,0.173832,-0.000646,1.463865,0.131843
FJ3290,FMA7486,manubrium,midline,rib_cage,rib_cage,-0.027450,1.280270,0.130801,0.027450,1.325250,0.178588,0.000000,1.302760,0.154695
FJ3291,FMA23942,middle phalanx of left ring finger,left,hand,hand_l,0.242782,0.669821,0.156794,0.254532,0.693684,0.180547,0.248657,0.681752,0.168671
FJ3292,FMA24457,middle phalanx of right ring finger,right,hand,hand_r,-0.254293,0.669704,0.156536,-0.242763,0.693604,0.180567,-0.248528,0.681654,0.168552
FJ3293,FMA32643,middle phalanx of left second toe,left,foot,foot_l,0.125127,-0.067954,0.207529,0.139212,-0.059341,0.224629,0.132169,-0.063647,0.216079
FJ3294,FMA32645,middle phalanx of left third toe,left,foot,foot_l,0.138915,-0.068984,0.198911,0.151811,-0.061109,0.215852,0.145363,-0.065046,0.207381
FJ3295,FMA32647,middle phalanx of left fourth toe,left,foot,foot_l,0.149044,-0.069792,0.185433,0.161390,-0.061969,0.198779,0.155217,-0.065881,0.192106
FJ3296,FMA23938,middle phalanx of left index finger,left,hand,hand_l,0.294389,0.670975,0.151256,0.309001,0.691453,0.172057,0.301695,0.681214,0.161656
